question,option_a,option_b,option_c,option_d,answer,difficulty,topic
Which function counts the number of cells that contain numbers in a range?,COUNTIF,COUNTA,COUNT,COUNTBLANK,COUNT,easy,Formulas
How do you find the unique values in a column?,Use the PivotTable feature,Use the Filter feature,Use the Advanced Filter feature,Use the Remove Duplicates feature,Use the Remove Duplicates feature,easy,Data
"To display the current date and time, which function do you use?",DATE(),NOW(),TODAY(),TIME(),NOW(),easy,Formulas
What is a PivotTable used for?,To format data,To create charts,To summarize and analyze data,To perform calculations,To summarize and analyze data,easy,Data
What is the keyboard shortcut to insert a new row?,Ctrl + Shift + R,Ctrl + Alt + R,Ctrl + Plus Sign (+),Ctrl + I,Ctrl + Plus Sign (+),medium,Shortcuts
Which function is used to look up a value in the first column of a table and return a value in the same row from a specified column?,HLOOKUP,INDEX,VLOOKUP,MATCH,VLOOKUP,easy,Formulas
What is the purpose of the dollar sign ($) in a cell reference like A1?,It indicates a named range.,It creates an absolute reference.,It makes the cell invisible.,It is a part of the cell name.,It creates an absolute reference.,easy,Formulas
Which function would you use to find the highest value in a range of cells?,SUM,MIN,AVG,MAX,MAX,easy,Formulas
What is the purpose of the CONCATENATE function?,To join text strings from multiple cells into one cell.,To combine numbers in multiple cells.,To format a cell.,To sort data.,To join text strings from multiple cells into one cell.,easy,Text Functions
How do you convert a column of text to columns?,Use the Flash Fill feature,Use the Find and Replace feature,Use the Text to Columns feature,Use the Data Validation feature,Use the Text to Columns feature,easy,Data
"What is a ""named range""?",A specific cell address,A user-defined name given to a cell or a range of cells.,A chart title,A type of formula,A user-defined name given to a cell or a range of cells.,easy,General
What is the keyboard shortcut to select all cells in a worksheet?,Ctrl + A,Ctrl + S,Ctrl + C,Ctrl + Z,Ctrl + A,easy,Shortcuts
What is the main difference between a Bar chart and a Column chart?,"Bar charts are horizontal, and Column charts are vertical.","Bar charts display continuous data, and Column charts display discrete data.","Bar charts are for a single series, and Column charts are for multiple series.",There is no difference.,"Bar charts are horizontal, and Column charts are vertical.",easy,Charts
"What is the primary purpose of the ""What-If Analysis"" tools (e.g., Goal Seek, Scenario Manager)?",To clean and prepare data.,To visualize data.,To find the optimal value for a formula by changing an input value.,To find errors in formulas.,To find the optimal value for a formula by changing an input value.,medium,Data Analysis
"Which tool is used to apply a specific format (e.g., bold, font style) from one cell to another?",Format Painter,Conditional Formatting,Paste Special,Fill Handle,Format Painter,easy,Formatting
What is the use of the FILTER function in Excel?,To filter a range of data based on a defined criteria.,To sort a range of data.,To merge cells.,To remove duplicates.,To filter a range of data based on a defined criteria.,easy,Data
What is a Macro in Excel?,A type of chart.,A type of formula.,A set of recorded actions or commands to automate a task.,A spreadsheet template.,A set of recorded actions or commands to automate a task.,medium,VBA
Which formula is used to get the average of a range of numbers?,#DIV/0!,#NUM!,#NAME?,none of these options,#DIV/0!,easy,Formulas
